onset	duration	stim_type	identity	orientation	reaction_time	response
15.04	5	fixation	n/a	n/a	n/a	n/a
20.04	5	fixation	n/a	n/a	n/a	n/a
25.08	5	face	id3	a3	n/a	n/a
30.08	5	face	id2	a4	2.22	different
35.08	5	face	id3	a1	2.44	different
40.08	5	face	id2	a3	2.4	different
45.08	5	face	id4	a5	2.22	different
50.08	5	face	id4	a1	2.15	same
55.08	5	face	id1	a1	2.12	different
60.08	5	face	id3	a4	2.63	different
65.08	5	face	id4	a4	2.25	different
70.08	5	face	id1	a4	2.2	different
75.08	5	face	id3	a5	2.22	different
80.08	5	face	id2	a1	2.38	different
85.08	5	face	id1	a5	2.2	different
90.09	5	face	id4	a2	2.16	different
95.09	5	face	id1	a3	2.82	different
100.1	5	face	id4	a3	2.04	different
105.09	5	face	id1	a2	2.31	different
110.09	5	face	id3	a2	2.14	different
115.1	5	face	id2	a5	2.6	different
120.1	5	face	id2	a2	2.25	same
125.1	5	face	id2	a2	2.8	same
130.1	5	face	id4	a5	2.83	different
135.1	5	face	id1	a5	2.07	different
140.1	5	face	id4	a4	2.41	different
145.1	5	face	id4	a3	2.48	different
150.11	5	face	id4	a1	2.1	same
155.08	5	fixation	n/a	n/a	n/a	n/a
160.11	5	face	id3	a5	2.76	different
165.11	5	face	id4	a2	2.42	different
170.11	5	face	id2	a3	2.48	different
175.11	5	face	id3	a1	2.34	different
180.11	5	face	id1	a4	2.28	different
185.11	5	face	id3	a3	2.06	different
190.11	5	face	id1	a2	2.13	same
195.11	5	face	id2	a1	2.62	different
200.12	5	face	id3	a4	3.92	different
205.13	5	face	id2	a4	2.14	different
210.12	5	face	id1	a1	2.97	different
215.12	5	face	id2	a5	2.64	different
220.13	5	face	id1	a3	2.18	different
225.13	5	face	id3	a2	2.29	different
230.13	5	face	id3	a2	2.4	same
235.13	5	face	id1	a4	2.94	different
240.13	5	face	id1	a5	2.81	same
245.13	5	face	id2	a4	2.74	different
250.13	5	face	id1	a2	2.12	different
255.13	5	face	id4	a5	2.16	different
260.14	5	face	id3	a4	2.04	different
265.14	5	face	id3	a5	2.11	different
270.14	5	face	id1	a3	2.3	different
275.14	5	face	id3	a1	2.13	different
280.14	5	face	id4	a4	2.39	different
285.11	5	fixation	n/a	n/a	n/a	n/a
290.14	5	face	id2	a2	2.3	different
295.14	5	face	id2	a3	2.08	same
300.14	5	face	id2	a1	2.14	same
305.14	5	face	id4	a3	2.19	different
310.14	5	face	id4	a2	3.8	same
315.14	5	face	id1	a1	2.4	different
320.14	5	face	id4	a1	2.0	different
325.16	5	face	id2	a5	2.26	different
330.15	5	face	id3	a3	2.14	different
